drug1,drug2,similarity
DB00755,DB00586,0.259
DB01124,DB00586,0.776
DB00373,DB00586,0.272
DB00624,DB00586,0.422
DB00675,DB00586,0.204
DB00605,DB00586,0.815
DB00428,DB00586,0.151
DB00203,DB00586,0.211
DB00533,DB00586,0.866
DB00863,DB00586,0.509
DB00571,DB00586,0.492
DB03322,DB00586,0.492
DB01069,DB00586,0.217
DB00396,DB00586,0.157
DB01032,DB00586,0.171
DB00635,DB00586,0.299
DB00860,DB00586,0.456
DB00175,DB00586,0.157
DB00812,DB00586,0.578
DB01174,DB00586,0.339
DB01229,DB00586,0.295
DB01183,DB00586,0.296
DB00295,DB00586,0.66
DB00683,DB00586,0.573
DB01110,DB00586,0.15
DB00959,DB00586,0.328
DB00563,DB00586,0.388
DB00814,DB00586,0.859
DB00227,DB00586,0.15
DB00678,DB00586,0.23
DB00836,DB00586,0.152
DB00555,DB00586,0.23
DB01009,DB00586,0.879
DB01026,DB00586,0.33
DB01221,DB00586,0.327
DB00328,DB00586,0.902
DB00281,DB00586,0.632
DB01050,DB00586,0.941
DB00741,DB00586,0.161
DB00502,DB00586,0.157
DB01016,DB00586,0.297
DB01241,DB00586,0.508
DB00695,DB00586,0.371
DB00158,DB00586,0.17
DB00712,DB00586,0.865
DB00472,DB00586,0.326
DB00544,DB00586,0.33
DB00749,DB00586,0.743
DB00584,DB00586,0.218
DB00313,DB00586,0.356
DB01075,DB00586,0.218
DB00343,DB00586,0.258
DB00255,DB00586,0.404
DB00829,DB00586,0.546
DB00443,DB00586,0.23
DB01234,DB00586,0.23
DB01394,DB00586,0.257
DB00363,DB00586,0.176
DB00257,DB00586,0.264
DB00758,DB00586,0.236
DB00575,DB00586,0.33
DB00501,DB00586,0.294
DB00477,DB00586,0.208
DB01114,DB00586,0.272
DB00608,DB00586,0.216
DB00439,DB00586,0.212
DB00482,DB00586,0.942
DB00661,DB00586,0.486
DB00201,DB00586,0.388
DB00945,DB00586,0.877
DB01435,DB00586,0.345
DB00277,DB00586,0.299
DB00437,DB00586,0.271
DB00252,DB00586,0.451
DB00788,DB00586,0.91
DB00468,DB00586,0.293
DB00908,DB00586,0.293
